id,vpiddt,vpidprev,nm
35892911000001104,2018-10-17,375720001,Cantharidin 0.7% collodion
35899711000001107,2018-10-17,332422009,Salicylic acid 60% in White soft paraffin
35898011000001100,2018-10-17,347206003,Pilocarpine hydrochloride 3% eye drops preservative free
35896211000001109,2018-10-17,409379002,Nitric oxide 100ppm
35896311000001101,2018-10-17,376566002,Nitric oxide 800ppm
35900311000001105,2018-10-17,324262004,"Spiramycin 375,000units/5ml oral solution"
39716011000001106,2021-05-26,348138003,Hydrocortisone acetate powder
39713911000001104,2021-05-26,333881002,Halothane volatile liquid
35914911000001104,2018-10-19,332219005,Tazarotene 0.05% gel
36062011000001103,2018-10-30,326359002,Generic Femodene ED tablets
39112311000001102,2020-10-21,331285009,Chlorhexidine gluconate 0.2% mouthwash
37082111000001101,2019-04-25,332201001,Calcipotriol 50micrograms/ml scalp solution
36040811000001103,2018-10-29,333087002,Malathion 0.5% alcoholic lotion
35924811000001102,2018-10-22,330987003,Sodium bicarbonate 5% ear drops
39020911000001103,2020-09-23,330404003,Fusidic acid 1% modified-release eye drops
330629004,2005-08-10,3329411000001103,Carteolol 1% eye drops
330731001,2005-08-09,3432811000001104,Brimonidine 0.2% eye drops
330529007,2005-08-19,3487411000001109,Nedocromil 2% eye drops
400771006,2005-08-15,3485811000001101,Hypromellose 0.3% / Dextran '70' 0.1% eye drops
14607911000001101,2008-10-30,331352004,Aqueous cream
39022311000001100,2020-09-23,324433003,Trimethoprim 50mg/5ml oral suspension sugar free
39699011000001109,2021-05-26,398739000,Carob seed flour powder
39698711000001102,2021-05-26,398854002,Carob seed flour 96.5% / Calcium lactate 3.5% powder
39713511000001106,2021-05-26,328299009,Fructose powder
375668004,2007-12-10,331830000,Betamethasone dipropionate 0.05% cream
375669007,2007-12-10,331831001,Betamethasone dipropionate 0.05% ointment
35937611000001109,2018-10-22,400404003,Saliva stimulating tablets
400849005,2005-08-22,3484611000001101,Low protein mix
328664004,2006-08-16,3558911000001101,Gluten free bread
37082911000001103,2019-04-25,320820009,Cetirizine 1mg/ml oral solution sugar free
36089611000001101,2018-10-31,332876004,Clotrimazole 1% powder
35934411000001101,2018-10-22,324481005,Rifampicin 100mg/5ml oral suspension
14608311000001101,2008-10-30,331366009,Emulsifying ointment
36150711000001100,2018-11-05,398860002,Xanthan gum
35368511000001109,2018-04-18,323734001,Amoxicillin 125mg/1.25ml oral suspension paediatric
35899511000001102,2018-10-17,348228000,Aluminium chloride 20% solution
18491111000001108,2011-01-25,332431009,Salicylic acid 11% / Lactic acid 4% gel
374372000,2007-12-10,331824000,Betamethasone valerate 0.1% cream
36027911000001107,2018-10-29,321476000,Pericyazine 10mg/5ml oral solution
34820711000001100,2017-10-05,331334004,Artificial saliva spray
36046511000001104,2018-10-29,321825007,Imipramine 25mg/5ml oral solution
36021111000001102,2018-10-29,333335009,Povidone-Iodine 2.5% dry powder spray
35910511000001102,2018-10-19,332349005,Benzoyl peroxide 5% / Erythromycin 3% gel
35910411000001101,2018-10-19,332389004,Benzoyl peroxide 2.5% gel
332215004,2005-08-15,3371711000001109,Tacalcitol 4micrograms/g ointment
14608711000001102,2008-10-30,331587000,Aqueous calamine cream
14608811000001105,2008-10-30,331588005,Calamine lotion
35368811000001107,2018-04-18,331105001,Xylometazoline 0.05% nasal drops
14608911000001100,2008-10-30,333166005,Surgical spirit
36098311000001104,2018-10-31,331905002,Diflucortolone 0.1% oily cream
14609011000001109,2008-10-30,330242006,Diethylamine salicylate 10% cream
407900001,2005-08-22,3377911000001103,Ketotifen 250micrograms/ml eye drops
407914001,2005-08-09,3328511000001105,Calcitriol 3micrograms/g ointment
407803003,2005-08-11,3498711000001101,Travoprost 40micrograms/ml eye drops
36142711000001103,2018-11-05,332360001,Clindamycin 1% alcoholic solution
37083411000001102,2019-04-25,332359006,Clindamycin 1% aqueous lotion
39706611000001101,2021-05-26,332715000,Coal tar extract 2% shampoo
39694011000001108,2021-05-26,332721001,Coal tar extract 5% shampoo
36094411000001102,2018-10-31,331893001,Desoximetasone 0.05% oily cream
36040911000001108,2018-10-29,333089004,Malathion 0.5% aqueous liquid
35369111000001107,2018-04-18,329804005,Mefenamic acid 50mg/5ml oral suspension
39110611000001106,2020-10-21,331822001,Betamethasone valerate 0.1% scalp application
39714711000001104,2021-05-26,320200002,Terbutaline 10mg/ml nebuliser liquid
36130011000001103,2018-11-05,322690008,Oxycodone 10mg/ml oral solution sugar free
36148411000001106,2018-11-05,331004000,Urea hydrogen peroxide 5% ear drops
396279000,2007-12-10,331825004,Betamethasone valerate 0.1% ointment
39111811000001102,2020-10-21,322123004,Metoclopramide 5mg/5ml oral solution sugar free
14609711000001106,2008-10-30,385582002,Pimecrolimus 1% cream
400584004,2005-08-22,3478811000001100,Lauromacrogol 400 5% / Heparinoid 0.2% rectal ointment
330466003,2006-08-11,3459311000001101,Fluorometholone 0.1% eye drops
347223007,2005-08-16,3441211000001106,Prednisolone acetate 1% eye drops
35923811000001100,2018-10-22,330826008,Simple eye ointment
400504001,2005-08-15,3591511000001108,Heparinoid 0.8% ointment
14610411000001107,2008-10-30,326590004,Potassium citrate mixture
36051311000001104,2018-10-29,329457000,Gentian alkaline mixture
36030211000001100,2018-10-29,329848000,Naproxen 500mg tablets and Misoprostol 200microgram tablets
14610811000001109,2008-10-30,317382007,Kaolin and Morphine mixture
39735711000001109,2021-05-27,331569003,Soya oil 84.75% bath oil
36133111000001109,2018-11-05,325950002,Calcium carbonate 1.25g effervescent tablets and Disodium etidronate 400mg tablets
35939511000001103,2018-10-22,333101002,Phenothrin 0.5% liquid
39706111000001109,2021-05-26,326211000,Clotrimazole 500mg pessary and Clotrimazole 2% cream
407889001,2007-01-17,374402002,Tacrolimus 0.03% ointment
407890005,2007-01-17,410837000,Tacrolimus 0.1% ointment
38083011000001101,2020-02-06,353251005,Permethrin 5% cream
36028011000001109,2018-10-29,333112002,Permethrin 1% scalp application
35918411000001103,2018-10-19,407802008,Timolol 0.1% gel eye drops
400627002,2005-08-16,3559911000001109,Salicylic acid 12% / Lactic acid 4% gel
35918611000001100,2018-10-19,330715009,Timolol 0.5% eye gel
35918511000001104,2018-10-19,330714008,Timolol 0.25% eye gel
39719011000001100,2021-05-26,326258008,Miconazole 100mg pessaries and Miconazole 2% cream
400674006,2005-08-22,3558511000001108,Conjugated oestrogens 625microgram tablets and Norgestrel 150microgram tablets
400760005,2005-08-09,3560211000001101,White soft paraffin 95% / Liquid paraffin 5% ointment
36139311000001109,2018-11-05,327093000,Ciclosporin 100mg/ml oral solution sugar free
400729005,2006-08-16,3602211000001105,Ibuprofen 5% / Levomenthol 3% gel
320952008,2012-10-04,3655511000001106,Menthol and Eucalyptus inhalation
39718211000001100,2021-05-26,333079003,Malathion 1% cream shampoo
14611111000001108,2008-10-30,330179000,White liniment
35901711000001101,2018-10-17,320986004,Ammonia and Ipecacuanha mixture
34820611000001109,2017-10-05,331324008,Thymol glycerin compound mouthwash
34821111000001107,2017-10-05,83459002,Benzoin compound tincture
36045811000001109,2018-10-29,333027004,Idoxuridine 5% topical solution
39696611000001105,2021-05-26,332392000,Benzoyl peroxide 10% wash
374014000,2007-12-10,331826003,Betamethasone valerate 0.1% lotion
35914411000001107,2018-10-19,331589002,Calamine oily lotion
14611411000001103,2008-10-30,347060000,Cetrimide 0.5% cream
36060811000001108,2018-10-30,332439006,Formaldehyde 0.75% gel
36067811000001107,2018-10-30,331964000,Fluocortolone hexanoate 0.25% / Fluocortolone pivalate 0.25% cream
